fecha,terminal_nombre,rol_usuario,estrellas,comentario
2023-01-12,Cargill (Pto. Gral. San Martín),Chofer de camión,4,"seguridad eficiente, ingreso ordenado"
2023-01-15,Terminal 6 (AGD/Bunge),Chofer de camión,2,"accidente en acceso, nadie avisa nada"
2023-01-20,Viterra (ex-Glencore),Despachante,3,"instalaciones básicas, señalización mejorable"
2023-01-29,Louis Dreyfus (Gral. Lagos),Supervisor logístico,1,demora 6 horas para descargar en cosecha
2023-01-31,Oleaginosa Moreno,Operario portuario,5,"seguridad eficiente, ingreso ordenado"
2023-02-01,Viterra (ex-Glencore),Transportista independiente,2,"espera interminable, sin seguridad vial externa"
2023-02-09,Terminal 6 (AGD/Bunge),Chofer de camión,1,"espera interminable, sin seguridad vial externa"
2023-02-13,Terminal 6 (AGD/Bunge),Supervisor logístico,3,"instalaciones básicas, señalización mejorable"
2023-02-20,Cargill (Pto. Gral. San Martín),Chofer de camión,2,zona de espera sin iluminación de noche
2023-02-21,Terminal 6 (AGD/Bunge),Operario portuario,3,"demora normal para la época, personal correcto"
2023-02-22,ACA (San Lorenzo),Chofer de camión,4,"sin demoras, buen estado camino interno"
2023-02-22,Cargill (Pto. Gral. San Martín),Operario portuario,3,operación estándar sin incidentes
2023-03-07,Terminal 6 (AGD/Bunge),Operario portuario,2,"accidente en acceso, nadie avisa nada"
2023-03-10,Viterra (ex-Glencore),Supervisor logístico,1,"espera interminable, sin seguridad vial externa"
2023-03-22,Viterra (ex-Glencore),Operario portuario,4,"acceso rápido, buen orden de ingreso"
2023-03-23,Renova S.A. (Timbúes),Supervisor logístico,1,"ingreso caótico, sin control de flujo vehicular"
2023-03-30,Terminal 6 (AGD/Bunge),Despachante,1,demora 6 horas para descargar en cosecha
2023-03-30,Puerto BG SRL,Supervisor logístico,4,playa de espera con sombra y baños
2023-04-01,Cargill (Pto. Gral. San Martín),Despachante,3,"instalaciones básicas, señalización mejorable"
2023-04-05,Viterra (ex-Glencore),Operario portuario,1,"bache enorme en el acceso, rompí un neumático esperando"
2023-04-11,Viterra (ex-Glencore),Supervisor logístico,4,playa de espera con sombra y baños
2023-04-15,Renova S.A. (Timbúes),Chofer de camión,3,"instalaciones básicas, señalización mejorable"
2023-04-17,Cargill (Pto. Gral. San Martín),Operario portuario,3,operación estándar sin incidentes
2023-04-22,ACA (San Lorenzo),Transportista independiente,4,mejoraron el acceso este año
2023-04-28,Renova S.A. (Timbúes),Chofer de camión,2,"peligro en el ingreso, camiones y autos mezclados"
2023-05-04,ACA (San Lorenzo),Supervisor logístico,3,operación estándar sin incidentes
2023-05-21,Viterra (ex-Glencore),Transportista independiente,4,"acceso rápido, buen orden de ingreso"
2023-05-21,Cargill (Pto. Gral. San Martín),Chofer de camión,2,"accidente en acceso, nadie avisa nada"
2023-05-21,Renova S.A. (Timbúes),Transportista independiente,1,"peligro en el ingreso, camiones y autos mezclados"
2023-05-23,Terminal 6 (AGD/Bunge),Chofer de camión,1,"accidente en acceso, nadie avisa nada"
2023-05-23,Renova S.A. (Timbúes),Operario portuario,1,demora 6 horas para descargar en cosecha
2023-05-26,ACA (San Lorenzo),Transportista independiente,4,mejoraron el acceso este año
2023-05-27,ACA (San Lorenzo),Chofer de camión,3,"espera 2 horas, aceptable vs otras terminales"
2023-05-29,Renova S.A. (Timbúes),Chofer de camión,4,"sin demoras, buen estado camino interno"
2023-05-31,Puerto BG SRL,Chofer de camión,3,"acceso regular, baches menores"
2023-06-05,Louis Dreyfus (Gral. Lagos),Supervisor logístico,2,"accidente en acceso, nadie avisa nada"
2023-06-11,Viterra (ex-Glencore),Supervisor logístico,3,"espera 2 horas, aceptable vs otras terminales"
2023-06-14,Renova S.A. (Timbúes),Transportista independiente,3,operación estándar sin incidentes
2023-06-15,Cargill (Pto. Gral. San Martín),Transportista independiente,1,accidente evitable con banquina adecuada
2023-06-16,ACA (San Lorenzo),Transportista independiente,4,"sin demoras, buen estado camino interno"
2023-06-21,Cargill (Pto. Gral. San Martín),Despachante,3,"demora normal para la época, personal correcto"
2023-06-24,Puerto BG SRL,Chofer de camión,3,"demora normal para la época, personal correcto"
2023-06-24,Louis Dreyfus (Gral. Lagos),Transportista independiente,3,"instalaciones básicas, señalización mejorable"
2023-06-25,Terminal 6 (AGD/Bunge),Despachante,3,"demora normal para la época, personal correcto"
2023-07-06,ACA (San Lorenzo),Despachante,3,"acceso regular, baches menores"
2023-07-10,Louis Dreyfus (Gral. Lagos),Operario portuario,5,"acceso rápido, buen orden de ingreso"
2023-07-11,Terminal 6 (AGD/Bunge),Transportista independiente,2,"bache enorme en el acceso, rompí un neumático esperando"
2023-07-11,Cargill (Pto. Gral. San Martín),Transportista independiente,2,"peligro en el ingreso, camiones y autos mezclados"
2023-07-17,Puerto BG SRL,Operario portuario,2,"bache destruyó mi camión, sin respuesta de terminal"
2023-07-19,Oleaginosa Moreno,Transportista independiente,5,"acceso rápido, buen orden de ingreso"
